Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
231;27.05.2016; Frau ; Dr. ; Karlotta ; Berger ; 17.6.1938 ; Soetenkamp 104 ;37115; Duderstadt ; 05527 / 49643922 ; 0158 / 2679853 ; 05527 / 78322069 ; karlotta.berger@mail.xyz ; ja
232;14.09.2016; Frau ; Dr. ; Isabel ; Krüger ; 24.1.1959 ; Idenbrockplatz 198 ;96178; Pommersfelden ; 09548 / 880984 ; 0161 / 4986543 ; 09548 / 44902199 ; isabel.krueger@mail.xyz ; ja
233;08.08.2016; Herr ; Dr. ; Matthis ; Buchner ; 7.3.1945 ; Simon-Meister-Str. 172 ;50769; Köln ; 0221 / 99505727 ; 0178 / 9894473 ; 0221 / 29298829 ; m.buchner@mail.xyz ; ja
234;07.10.2016; Frau ; Dr. ; Karin ; Genz ; 25.11.1923 ; Baumberger Str. 115 ;37642; Holenberg ; 05532 / 34729649 ; 0151 / 5238886 ; 05532 / 24145290 ; k.genz@mail.xyz ; ja
235;21.02.2016; Herr ; Prof. ; Christopher ; Tolksdorf ; 17.3.1946 ; Am Grauen Stein 30 ;71691; Freiberg am Neckar ; 07141 / 47037976 ; 0178 / 7844911 ; 07141 / 41930345 ; c.tolksdorf@mail.xyz ; ja
236;03.06.2016; Frau ; Dr. ; Ronja ; Sims ; 4.11.1976 ; Bernhard-Poether-Str. 96 ;29451; Dannenberg ; 05861 / 54531673 ; 0154 / 7436618 ; 05861 / 78207728 ; r.sims@mail.xyz ; ja
237;14.09.2016; Frau ; Dr. ; Hertha ; Kraft ; 12.11.1955 ; Nienkamp 173 ;78267; Aach ; 07774 / 3665633 ; 0159 / 4565149 ; 07774 / 7740920 ; hertha.kraft@mail.xyz ; ja
238;30.11.2016; Frau ; Dr. ; Caja ; Mühlbaür ; 5.1.1962 ; Am Hörsterfriedhof 73 ;56271; Mündersbach ; 02680 / 66875599 ; 0179 / 2081956 ; 02680 / 20848061 ; caja.muehlbauer@mail.xyz ; ja
239;26.01.2016; Frau ; Dr. ; Silke ; Evans ; 9.11.1922 ; Dammstr. 79 ;95517; Emtmannsberg ; 09209 / 67698896 ; 0160 / 8414564 ; 09209 / 80436051 ; silke.evans@mail.xyz ; ja
240;21.01.2016; Herr ; Dr. ; Leander ; Mang ; 21.5.1980 ; Mindener Str. 136 ;97797; Wartmannsroth ; 09737 / 43372624 ; 0170 / 4549966 ; 09737 / 26871742 ; l.mang@mail.xyz ; ja
241;12.07.2016; Frau ; Dr. ; Sabine ; Einecke ; 28.10.1951 ; Drachterstr. 46 ;86655; Harburg ; 09003 / 52447996 ; 0161 / 2141081 ; 09003 / 22077525 ; s.einecke@mail.xyz ; ja
242;16.04.2016; Frau ; Dr. ; Sylvia ; Pittman ; 6.2.1994 ; Gremmendorfer Weg 178 ;25889; Uelvesbüll ; 04864 / 24640200 ; 0179 / 1647094 ; 04864 / 76652499 ; s.pittman@mail.xyz ; ja
243;29.05.2016; Frau ; Dr. ; Mathilda ; Hawkins ; 25.8.1984 ; Weserstr. 89a ;56850; Hahn ; 06763 / 33924216 ; 0168 / 7597139 ; 06763 / 90906670 ; m.hawkins@mail.xyz ; ja
244;24.08.2016; Herr ; Prof. ; Ulrich ; Luna ; 24.9.1971 ; Kreuzstr. 161 ;21075; Hausbruch ; 040 / 22576924 ; 0171 / 2065252 ; 040 / 11806376 ; ulrich.luna@mail.xyz ; ja
245;20.10.2016; Frau ; Prof. ; Juliana ; Röder ; 8.9.1937 ; Hindenburgplatz 134 ;88677; Markdorf ; 07544 / 16635308 ; 0153 / 9532299 ; 07544 / 73598695 ; juliana.roeder@mail.xyz ; ja
246;11.06.2016; Frau ; Prof. ; Chantall ; Gruber ; 4.5.1947 ; Pankokstr. 31 ;55124; Mainz am Rhein ; 06131 / 1254539 ; 0173 / 3362880 ; 06131 / 38968502 ; c.gruber@mail.xyz ; ja
247;06.05.2016; Herr ; Prof. ; Arne ; Higgins ; 1.10.1962 ; Am Hörsterfriedhof 200 ;24376; Rabel ; 04643 / 28014279 ; 0157 / 4527183 ; 04643 / 60483254 ; arne.higgins@mail.xyz ; ja
248;25.01.2016; Frau ; Dr. ; Janin ; Vetter ; 6.5.1954 ; Heroldstr. 65 ;2906; Niesky ; 03588 / 71804376 ; 0155 / 7601520 ; 03588 / 12632068 ; janin.vetter@mail.xyz ; ja
249;25.06.2016; Frau ; Dr. ; Kristina ; Tönnies ; 8.6.1933 ; Drachterstr. 157 ;6507; Timmenrode ; 03947 / 64865312 ; 0162 / 2511649 ; 03947 / 45282137 ; kristina.toennies@mail.xyz ; ja
250;04.11.2016; Herr ; Dr. ; Helmut ; Lambertz ; 17.9.1952 ; Franz-Peter-Kürten-Weg 61 ;17091; Altenhagen ; 03960 / 20881961 ; 0171 / 1328994 ; 03960 / 60687216 ; helmut.lambertz@mail.xyz ; ja
251;22.08.2016; Herr ; Dr. ; Matti ; Wilkens ; 26.11.1966 ; Rennbahnstr. 120 ;32584; Löhne ; 05732 / 36976453 ; 0151 / 7922466 ; 05732 / 32114350 ; matti.wilkens@mail.xyz ; ja
252;14.02.2016; Frau ; Dr. ; Tara ; Wagenknecht ; 6.11.1987 ; Am Oedingteich 136 ;93055; Regensburg ; 0941 / 91137519 ; 0151 / 2528906 ; 0941 / 48517601 ; tara.wagenknecht@mail.xyz ; ja
253;19.07.2016; Herr ; Dr. ; Lion ; Noll ; 17.5.1997 ; Janningsweg 85a ;39307; Genthin ; 03933 / 55636691 ; 0154 / 7129428 ; 03933 / 19635236 ; l.noll@mail.xyz ; ja
254;15.02.2016; Herr ; Dr. ; Bernhard ; Zeitler ; 3.12.1929 ; Zur Wiese 144 ;74354; Besigheim ; 07143 / 51803499 ; 0171 / 2472329 ; 07143 / 62589093 ; bernhard.zeitler@mail.xyz ; ja
255;21.12.2016; Herr ; Dr. ; Marten ; Rosenberger ; 28.9.1956 ; Am Dornbusch 2 ;79856; Hinterzarten ; 07652 / 80188336 ; 0175 / 5553466 ; 07652 / 4905258 ; m.rosenberger@mail.xyz ; ja
256;11.03.2016; Frau ; Prof. ; Romy ; Kreuzer ; 10.2.1944 ; Liboristr. 32 ;97299; Zell am Main ; 0931 / 40780070 ; 0161 / 6640742 ; 0931 / 64792354 ; r.kreuzer@mail.xyz ; ja
257;19.06.2016; Herr ; Prof. ; Jannik ; Brandstetter ; 26.7.1932 ; Am Filk 171 ;83361; Kienberg ; 08628 / 77495755 ; 0153 / 8156394 ; 08628 / 58584786 ; j.brandstetter@mail.xyz ; ja
258;24.04.2016; Frau ; Dr. ; Elizabeth ; Summers ; 15.1.1974 ; Offenbergstr. 166 ;13581; Spandau ; 030 / 53036053 ; 0160 / 5720177 ; 030 / 55940054 ; e.summers@mail.xyz ; ja
259;02.12.2016; Frau ; Dr. ; Heidi ; Wilk ; 6.1.1998 ; Am Grauen Stein 148 ;33102; Paderborn ; 05251 / 9290455 ; 0157 / 6250872 ; 05251 / 25696496 ; heidi.wilk@mail.xyz ; ja
260;03.12.2016; Frau ; Dr. ; Heidi ; Henning ; 26.5.1964 ; Widdeshover Weg 107 ;66871; Reichweiler ; 06381 / 16191379 ; 0154 / 9194052 ; 06381 / 74071646 ; h.henning@mail.xyz ; ja
261;26.08.2016; Herr ; Dr. ; Peter ; Vedes ; 5.2.1977 ; Nieland 72 ;27308; Kirchlinteln ; 04236 / 84788427 ; 0150 / 9824729 ; 04236 / 77009441 ; p.vedes@mail.xyz ; ja
262;24.03.2016; Herr ; Dr. ; Leandro ; Roos ; 17.9.1985 ; Offerkämpe 197a ;65626; Birlenbach ; 06432 / 23959522 ; 0154 / 2853094 ; 06432 / 77983531 ; leandro.roos@mail.xyz ; ja
263;21.05.2016; Frau ; Dr. ; Lena ; Pratt ; 24.4.1937 ; Am Burloh 176 ;37127; Dransfeld ; 05502 / 87306713 ; 0168 / 3003960 ; 05502 / 31637632 ; lena.pratt@mail.xyz ; ja
264;16.07.2016; Frau ; Dr. ; Hanna ; Thomas ; 28.8.1988 ; Erpeler Str. 30 ;14129; Steglitz-Zehlendorf ; 030 / 47241155 ; 0159 / 9553154 ; 030 / 96130770 ; h.thomas@mail.xyz ; ja
265;11.12.2016; Frau ; Prof. ; Juli ; Schober ; 12.1.1994 ; Im Stemmen 174 ;34596; Bad Zwesten ; 05626 / 9423020 ; 0155 / 1595692 ; 05626 / 38101166 ; j.schober@mail.xyz ; ja
266;24.06.2016; Frau ; Dr. ; Nora ; Seliger ; 20.5.1987 ; Gescherweg 42 ;86853; Langerringen ; 08232 / 82683132 ; 0167 / 3433694 ; 08232 / 13996739 ; n.seliger@mail.xyz ; ja
267;04.01.2016; Herr ; Dr. ; Kian ; Faulhaber ; 20.7.1930 ; Lammerbach 27 ;24582; Schönbek ; 04322 / 57824270 ; 0167 / 3021284 ; 04322 / 63871106 ; kian.faulhaber@mail.xyz ; ja
268;19.08.2016; Frau ; Dr. ; Dilara ; Boone ; 22.9.1948 ; Herdingstr. 18 ;41468; Uedesheim ; 02131 / 75832023 ; 0151 / 1078572 ; 02131 / 87499475 ; dilara.boone@mail.xyz ; ja
269;30.04.2016; Frau ; Dr. ; Stefanie ; Higgins ; 5.8.1940 ; Pötterhoek 160 ;3044; Cottbus ; 0355 / 61847324 ; 0172 / 3264241 ; 0355 / 25776264 ; stefanie.higgins@mail.xyz ; ja
270;15.10.2016; Frau ; Dr. ; Alexa ; Thelen ; 3.11.1948 ; Pankokstr. 195 ;78609; Tuningen ; 07464 / 33515114 ; 0153 / 4532238 ; 07464 / 72781607 ; a.thelen@mail.xyz ; ja
271;10.12.2016; Frau ; Dr. ; Alina ; Schuler ; 6.10.1960 ; Avendruper Str. 4 ;29593; Schwienau ; 05822 / 24959157 ; 0153 / 7401362 ; 05822 / 61304693 ; a.schuler@mail.xyz ; ja
272;01.08.2016; Herr ; Dr. ; Ricardo ; Sigmund ; 17.2.1998 ; Am Grauen Stein 161 ;24568; Nützen ; 04191 / 63504613 ; 0171 / 4041358 ; 04191 / 99652164 ; ricardo.sigmund@mail.xyz ; ja
273;29.07.2016; Herr ; Dr. ; Wilfried ; Both ; 24.10.1946 ; Berrischstr. 84 ;94491; Hengersberg ; 09901 / 21641928 ; 0179 / 9894272 ; 09901 / 97618186 ; w.both@mail.xyz ; ja
274;28.09.2016; Herr ; Dr. ; Carlo ; Schwertfeger ; 3.4.1963 ; Theodor-Heuss-Ring 66 ;67722; Winnweiler ; 06302 / 62750726 ; 0179 / 3161830 ; 06302 / 7438348 ; carlo.schwertfeger@mail.xyz ; ja
275;08.10.2016; Frau ; Dr. ; Rosemarie ; Haid ; 27.9.1947 ; Janningsweg 86 ;88263; Horgenzell ; 07504 / 93439693 ; 0150 / 4537203 ; 07504 / 62330519 ; rosemarie.haid@mail.xyz ; ja
276;08.07.2016; Frau ; Dr. ; Jenny ; Bothe ; 13.6.1965 ; Unter Kahlenhausen 120 ;37216; Witzenhausen ; 05542 / 82362772 ; 0160 / 5647812 ; 05542 / 6802329 ; jenny.bothe@mail.xyz ; ja
277;17.04.2016; Frau ; Prof. ; Lyn ; Burghardt ; 23.3.1957 ; Kochwiesenstr. 150 ;68723; Schwetzingen ; 06202 / 57310360 ; 0158 / 9354527 ; 06202 / 17925953 ; lyn.burghardt@mail.xyz ; ja
278;04.01.2016; Herr ; Dr. ; Bjarne ; Burmeister ; 10.1.1959 ; Lassallestr. 90 ;74426; Bühlerzell ; 07974 / 33665510 ; 0172 / 8900454 ; 07974 / 35305156 ; b.burmeister@mail.xyz ; ja
279;16.10.2016; Frau ; Dr. ; Petra ; Henseler ; 7.7.1963 ; Nerzweg 61 ;96364; Marktrodach ; 09261 / 7711211 ; 0156 / 4324464 ; 09261 / 24534771 ; petra.henseler@mail.xyz ; ja
280;09.11.2016; Frau ; Dr. ; Annette ; Pecher ; 9.8.1951 ; Johann-Krane-Weg 68 ;86807; Buchloe ; 08241 / 97004818 ; 0171 / 4470057 ; 08241 / 95077367 ; annette.pecher@mail.xyz ; ja
281;07.10.2016; Frau ; Prof. ; Jule ; Mang ; 21.10.1931 ; Mecklenbecker Str. 155 ;94557; Niederalteich ; 09901 / 23638665 ; 0169 / 8341703 ; 09901 / 5286164 ; jule.mang@mail.xyz ; ja
282;02.05.2016; Frau ; Dr. ; Janin ; Hagemann ; 2.2.1951 ; Weißenburgstr. 110 ;13403; Reinickendorf ; 030 / 51370487 ; 0173 / 5310951 ; 030 / 12833979 ; j.hagemann@mail.xyz ; ja
283;30.06.2016; Herr ; Dr. ; Dustin ; Wolters ; 15.5.1931 ; Dorbaumstr. 108 ;53539; Borler ; 02692 / 6209448 ; 0159 / 4580763 ; 02692 / 76744174 ; d.wolters@mail.xyz ; ja
284;03.04.2016; Frau ; Dr. ; Fenja ; Wirth ; 12.3.1985 ; Von-Holte-Str. 43 ;83708; Kreuth ; 08029 / 69007608 ; 0174 / 2290712 ; 08029 / 21072600 ; f.wirth@mail.xyz ; ja
285;26.12.2016; Herr ; Dr. ; Quentin ; Maxwell ; 6.9.1987 ; Erikahof 142 ;51381; Leverkusen ; 0214 / 48737118 ; 0166 / 9565504 ; 0214 / 23199698 ; quentin.maxwell@mail.xyz ; ja
286;30.12.2016; Frau ; Dr. ; Astrid ; Kaufhold ; 15.4.1993 ; Cheruskerstr. 192 ;56479; Hüblingen ; 02664 / 50837828 ; 0152 / 3623571 ; 02664 / 28046960 ; a.kaufhold@mail.xyz ; ja
287;31.05.2016; Frau ; Dr. ; Emmily ; Adkins ; 13.10.1984 ; Bünkamp 28 ;97258; Gollhofen ; 09339 / 15998216 ; 0167 / 7977406 ; 09339 / 90567437 ; e.adkins@mail.xyz ; ja
288;04.09.2016; Herr ; Dr. ; Reinhard ; Zimmerer ; 14.10.1920 ; Geiststr. 93a ;82407; Wielenbach ; 0881 / 9385729 ; 0179 / 1452359 ; 0881 / 488201 ; reinhard.zimmerer@mail.xyz ; ja
289;20.12.2016; Frau ; Dr. ; Victoria ; Schaper ; 14.1.1953 ; Rinscheweg 104 ;96170; Priesendorf ; 09549 / 21586621 ; 0170 / 5289056 ; 09549 / 54707447 ; v.schaper@mail.xyz ; ja
290;17.06.2016; Herr ; Prof. ; Muhammed ; Hartung ; 9.3.1980 ; Rektoratsweg 14 ;52159; Roetgen ; 02471 / 86197657 ; 0153 / 3534418 ; 02471 / 38198727 ; m.hartung@mail.xyz ; ja
291;24.04.2016; Frau ; Dr. ; Maike ; Uhlemann ; 10.9.1944 ; Oberschlesier Str. 101 ;19077; Rastow ; 03868 / 15119827 ; 0163 / 2488483 ; 03868 / 7478537 ; maike.uhlemann@mail.xyz ; ja
292;02.11.2016; Herr ; Dr. ; Dennis ; Haug ; 23.8.1943 ; Hacklenburg 55 ;26427; Werdum ; 04971 / 12495290 ; 0168 / 4643492 ; 04971 / 21204490 ; d.haug@mail.xyz ; ja
293;19.02.2016; Herr ; Dr. ; Jonah ; Mayer ; 21.9.1963 ; Weseler Str. 110 ;78576; Emmingen-Liptingen ; 07465 / 52548642 ; 0167 / 5740260 ; 07465 / 76472078 ; jonah.mayer@mail.xyz ; ja
294;23.10.2016; Herr ; Dr. ; Enrico ; McCormick ; 20.5.1998 ; Am Dornbusch 189 ;38112; Braunschweig ; 0531 / 39169309 ; 0156 / 3525931 ; 0531 / 1783651 ; e.mccormick@mail.xyz ; ja
295;09.08.2016; Herr ; Dr. ; Manuel ; Kaczmarek ; 27.3.1956 ; Kochwiesenstr. 127a ;57635; Oberirsen ; 02681 / 70429272 ; 0176 / 5134589 ; 02681 / 77324995 ; m.kaczmarek@mail.xyz ; ja
296;03.03.2016; Herr ; Dr. ; Til ; Jones ; 28.1.1944 ; An Lyskirchen 126 ;89191; Nellingen ; 07337 / 2183757 ; 0169 / 7629323 ; 07337 / 60515719 ; t.jones@mail.xyz ; ja
297;01.09.2016; Frau ; Dr. ; Jule ; Hellmann ; 6.1.1976 ; Unter Kahlenhausen 130 ;55128; Mainz am Rhein ; 06131 / 41169377 ; 0153 / 3217128 ; 06131 / 17366660 ; j.hellmann@mail.xyz ; ja
298;31.07.2016; Herr ; Dr. ; Lars ; Tacke ; 12.6.1942 ; Mondstr. 43 ;53424; Remagen ; 02642 / 46725102 ; 0154 / 5994370 ; 02642 / 25444524 ; l.tacke@mail.xyz ; ja
299;09.02.2016; Herr ; Dr. ; Piet ; Kiessling ; 3.8.2000 ; Augustastr. 6 ;80638; München ; 089 / 5894265 ; 0177 / 8284385 ; 089 / 76099619 ; p.kiessling@mail.xyz ; ja
300;23.10.2016; Frau ; Dr. ; Chiara ; Daub ; 23.11.1930 ; Rüschhausweg 111 ;55442; Roth ; 06724 / 89532321 ; 0167 / 4241333 ; 06724 / 77773614 ; c.daub@mail.xyz ; ja
301;02.11.2016; Frau ; Dr. ; Inga ; Ingram ; 6.9.1963 ; Am Burloh 58 ;66564; Ottweiler ; 06824 / 72173782 ; 0178 / 4778383 ; 06824 / 64191639 ; inga.ingram@mail.xyz ; ja
302;18.03.2016; Herr ; Dr. ; Luca ; Rach ; 12.6.1947 ; Cheruskerstr. 74a ;34582; Borken ; 05682 / 88584886 ; 0153 / 3539040 ; 05682 / 41997786 ; l.rach@mail.xyz ; ja
303;27.05.2016; Frau ; Dr. ; Kira ; Grube ; 17.11.1974 ; Am Filk 129 ;54655; Wilsecker ; 06563 / 53897735 ; 0153 / 1231333 ; 06563 / 85127164 ; kira.grube@mail.xyz ; ja
304;04.06.2016; Herr ; Dr. ; Justus ; Gaida ; 12.10.1962 ; Immelmannstr. 75 ;87439; Kempten ; 0831 / 58456065 ; 0163 / 5062506 ; 0831 / 85120805 ; j.gaida@mail.xyz ; ja
305;21.04.2016; Herr ; Prof. ; Richard ; Bauer ; 27.6.1945 ; Olpener Str. 98 ;25813; Husum ; 04841 / 2526774 ; 0162 / 3368087 ; 04841 / 13643162 ; richard.bauer@mail.xyz ; ja
306;05.04.2016; Frau ; Dr. ; Dagmar ; Eckardt ; 19.11.1922 ; Münzstr. 51 ;54578; Berndorf ; 06593 / 15248394 ; 0155 / 3715194 ; 06593 / 19884091 ; d.eckardt@mail.xyz ; ja
307;06.01.2016; Herr ; Dr. ; Matthies ; Merz ; 25.8.1989 ; Parkallee 174 ;56729; Hirten ; 02651 / 30576829 ; 0170 / 2011502 ; 02651 / 35335162 ; matthies.merz@mail.xyz ; ja
308;12.06.2016; Herr ; Dr. ; Lennox ; Williamson ; 26.4.1952 ; Rosenplatz 43 ;58642; Iserlohn ; 02371 / 41083643 ; 0160 / 8624031 ; 02371 / 48891518 ; l.williamson@mail.xyz ; ja
309;28.03.2016; Frau ; Dr. ; Laura ; Eder ; 1.2.1995 ; Am Filk 140 ;85072; Eichstätt ; 08421 / 66997589 ; 0170 / 4069750 ; 08421 / 41359653 ; laura.eder@mail.xyz ; ja
310;20.05.2016; Frau ; Dr. ; Maya ; Karl ; 6.8.1989 ; Paul-Engelhard-Weg 47 ;23972; Metelsdorf ; 03841 / 42678199 ; 0176 / 8725822 ; 03841 / 51739989 ; maya.karl@mail.xyz ; ja
311;07.08.2016; Herr ; Dr. ; Herbert ; Herbert ; 10.5.1991 ; Friesenring 63 ;19230; Bresegard ; 03883 / 11593646 ; 0178 / 2670132 ; 03883 / 20242059 ; herbert.herbert@mail.xyz ; ja
312;09.10.2016; Herr ; Dr. ; Louis ; Nebel ; 19.5.1934 ; Im Stemmen 175 ;31691; Seggebruch ; 05722 / 16690801 ; 0176 / 2426473 ; 05722 / 21644929 ; louis.nebel@mail.xyz ; ja
313;07.06.2016; Frau ; Dr. ; Kaya ; Wright ; 9.7.1951 ; Birkenweg 4 ;17309; Polzow ; 03973 / 60078829 ; 0160 / 9864206 ; 03973 / 93515014 ; kaya.wright@mail.xyz ; ja
314;10.06.2016; Herr ; Dr. ; Mats ; Laumann ; 18.10.1936 ; Friedrich-Ebert-Str. 133 ;24407; Rabenkirchen-Faulück ; 04642 / 86405492 ; 0158 / 7680082 ; 04642 / 64614938 ; m.laumann@mail.xyz ; ja
315;06.08.2016; Herr ; Dr. ; Niko ; Dudek ; 20.9.1964 ; Max-Winkelmann-Str. 21 ;58769; Nachrodt-Wiblingwerde ; 02352 / 68661447 ; 0150 / 3161779 ; 02352 / 42725180 ; n.dudek@mail.xyz ; ja
316;16.08.2016; Herr ; Dr. ; Heinrich ; Padilla ; 18.8.1982 ; Kurze Str. 68 ;74749; Rosenberg ; 06295 / 7081353 ; 0163 / 1269156 ; 06295 / 231843 ; h.padilla@mail.xyz ; ja
317;12.10.2016; Frau ; Dr. ; Isabel ; Hinkelmann ; 20.2.1964 ; Eulenbergstr. 15 ;29478; Höhbeck ; 05846 / 79199242 ; 0171 / 6154215 ; 05846 / 26626885 ; i.hinkelmann@mail.xyz ; ja
318;28.10.2016; Frau ; Dr. ; Joelina ; Franklin ; 10.1.1935 ; Florentine-Eichler-Str. 173 ;73614; Schorndorf ; 07181 / 78684483 ; 0155 / 1395622 ; 07181 / 37207743 ; joelina.franklin@mail.xyz ; ja
319;02.05.2016; Frau ; Dr. ; Birgit ; Kranz ; 22.12.1967 ; Kurneystr. 40 ;55546; Fürfeld ; 0671 / 20984343 ; 0155 / 6385190 ; 0671 / 82130900 ; b.kranz@mail.xyz ; ja
320;31.03.2016; Frau ; Dr. ; Anette ; Ostrowski ; 9.5.1974 ; Wolbecker Str. 132 ;10827; Berlin ; 030 / 68999565 ; 0160 / 6136003 ; 030 / 97569098 ; anette.ostrowski@mail.xyz ; ja
321;20.06.2016; Herr ; Prof. ; Erich ; Davis ; 1.7.1922 ; Willingrott 108 ;89561; Dischingen ; 07327 / 59587291 ; 0179 / 6168309 ; 07327 / 47642757 ; e.davis@mail.xyz ; ja
322;11.02.2016; Frau ; Dr. ; Rebecca ; Salon ; 26.3.1976 ; Friesenring 122 ;88353; Kißlegg ; 07563 / 11930657 ; 0150 / 4694576 ; 07563 / 80980897 ; r.salon@mail.xyz ; ja
323;19.04.2016; Frau ; Dr. ; Mira ; Agrar ; 3.5.1999 ; Hermann-Treff-Weg 144 ;25563; Föhrden-Barl ; 04192 / 52700262 ; 0151 / 5847115 ; 04192 / 39796867 ; mira.agrar@mail.xyz ; ja
324;10.07.2016; Herr ; Prof. ; Werner ; Both ; 7.4.1984 ; Mondstr. 154 ;61389; Schmitten ; 06084 / 39394512 ; 0155 / 2805541 ; 06084 / 91614135 ; werner.both@mail.xyz ; ja
325;25.05.2016; Frau ; Dr. ; Brigitte ; Demir ; 20.11.1940 ; Eibenweg 175 ;49577; Ankum ; 05462 / 80952825 ; 0165 / 3471110 ; 05462 / 95212555 ; brigitte.demir@mail.xyz ; ja
326;17.12.2016; Frau ; Dr. ; Ella ; Malek ; 24.2.1936 ; Försterstr. 66 ;90616; Neuhof an der Zenn ; 09107 / 51750423 ; 0166 / 1829123 ; 09107 / 5170487 ; ella.malek@mail.xyz ; ja
327;24.11.2016; Frau ; Dr. ; Finnja ; Jones ; 11.7.1927 ; Offerkämpe 30 ;67829; Callbach ; 06753 / 4745678 ; 0159 / 8819115 ; 06753 / 48369013 ; f.jones@mail.xyz ; ja
328;23.06.2016; Frau ; Dr. ; Karina ; Struck ; 22.11.1945 ; Meesenstiege 179 ;74597; Appensee ; 07967 / 25976433 ; 0167 / 3315635 ; 07967 / 48853682 ; karina.struck@mail.xyz ; ja
329;23.01.2016; Herr ; Prof. ; Enrico ; Kugler ; 15.4.1993 ; Mindener Str. 50 ;28876; Oyten ; 04207 / 1269601 ; 0155 / 3082277 ; 04207 / 50272242 ; e.kugler@mail.xyz ; ja
330;05.10.2016; Herr ; Dr. ; Helmut ; Siemer ; 17.5.1984 ; Hogenbergstr. 35 ;86975; Bernbeuren ; 08860 / 84057683 ; 0159 / 6572062 ; 08860 / 31784068 ; h.siemer@mail.xyz ; ja
331;08.05.2016; Herr ; Dr. ; Marcel ; Lohse ; 12.12.1963 ; Uhuweg 91 ;79279; Vörstetten ; 07666 / 73142077 ; 0166 / 5729774 ; 07666 / 34499397 ; m.lohse@mail.xyz ; ja
332;01.03.2016; Herr ; Prof. ; Jeremie ; Schulte ; 24.2.1939 ; Kleiner Griechenmarkt 120 ;55608; Bergen ; 06752 / 44677423 ; 0158 / 8141554 ; 06752 / 73264669 ; jeremie.schulte@mail.xyz ; ja
333;11.02.2016; Herr ; Dr. ; Thorsten ; Bergmann ; 23.10.1984 ; Templerweg 132 ;26129; Oldenburg ; 0441 / 22729075 ; 0162 / 7683291 ; 0441 / 36643733 ; t.bergmann@mail.xyz ; ja
334;03.02.2016; Herr ; Dr. ; Jakob ; Hantke ; 7.11.1948 ; Uhuweg 172 ;46569; Hünxe ; 02858 / 65636716 ; 0150 / 8126621 ; 02858 / 98940733 ; j.hantke@mail.xyz ; ja
335;27.10.2016; Herr ; Dr. ; Noel ; Schmit ; 19.5.1952 ; Baumberger Str. 109 ;21483; Wangelau ; 04153 / 71913934 ; 0163 / 7668141 ; 04153 / 21031639 ; n.schmit@mail.xyz ; ja
336;20.05.2016; Frau ; Dr. ; Chantale ; Breitenbach ; 4.3.1936 ; Kriegerweg 117 ;88697; Bermatingen ; 07544 / 58545728 ; 0150 / 8520574 ; 07544 / 99763792 ; chantale.breitenbach@mail.xyz ; ja
337;23.08.2016; Frau ; Dr. ; Kyra ; Siemon ; 18.1.1968 ; Kriegerweg 119 ;85053; Ingolstadt ; 0841 / 43016099 ; 0177 / 7179712 ; 0841 / 5080294 ; kyra.siemon@mail.xyz ; ja
338;16.05.2016; Herr ; Dr. ; Fabian ; Marks ; 11.7.1997 ; Morthorststr. 78 ;67308; Biedesheim ; 06351 / 12779779 ; 0154 / 5975474 ; 06351 / 90176892 ; f.marks@mail.xyz ; ja
339;01.11.2016; Frau ; Dr. ; Lilli ; Oswald ; 6.8.1997 ; Carossastr. 155 ;93105; Tegernheim ; 09403 / 15830309 ; 0166 / 4072073 ; 09403 / 9052783 ; l.oswald@mail.xyz ; ja
340;06.10.2016; Frau ; Dr. ; Meike ; Mendoza ; 14.12.1993 ; Teutonenstr. 188a ;57645; Nister ; 02662 / 33878867 ; 0178 / 5292940 ; 02662 / 92173247 ; m.mendoza@mail.xyz ; ja
341;15.04.2016; Herr ; Dr. ; Frederic ; Fehrenbach ; 14.11.1980 ; Mariendorfer Str. 109 ;79677; Aitern ; 07673 / 83277465 ; 0156 / 8503444 ; 07673 / 46449092 ; f.fehrenbach@mail.xyz ; ja
342;07.05.2016; Frau ; Prof. ; Amely ; Kaya ; 14.9.1962 ; Marktstr. 73 ;18109; Rostock ; 0381 / 11575503 ; 0178 / 3496832 ; 0381 / 57570672 ; amely.kaya@mail.xyz ; ja
343;16.11.2016; Frau ; Dr. ; Gerda ; Lynch ; 11.8.1995 ; Parkallee 9 ;85302; Gerolsbach ; 08445 / 62421046 ; 0153 / 8480567 ; 08445 / 71251721 ; g.lynch@mail.xyz ; ja
344;16.03.2016; Herr ; Dr. ; Elias ; Jefferson ; 1.3.1997 ; Am Nubbenberg 111 ;91413; Neustadt an der Aisch ; 09161 / 66074518 ; 0153 / 3184797 ; 09161 / 94570323 ; e.jefferson@mail.xyz ; ja
345;13.01.2016; Herr ; Dr. ; Dominik ; Hackbarth ; 20.6.1969 ; Weserstr. 11 ;71134; Aidlingen ; 07034 / 75640360 ; 0171 / 1778348 ; 07034 / 81865645 ; d.hackbarth@mail.xyz ; ja
346;21.01.2016; Herr ; Dr. ; Jürgen ; Kaufmann ; 11.2.1994 ; Emdener Str. 59 ;29481; Karwitz ; 05861 / 41152310 ; 0179 / 4693227 ; 05861 / 26641652 ; juergen.kaufmann@mail.xyz ; ja
